,Management,Business & Financial Operations,Computer & Mathematical,Architecture & Engineering,"Life, Physical, & Social Science",Community & Social Service,Legal,"Education, Training, & Library","Arts, Design, Entertainment, Sports, & Media",Healthcare Practitioners & Technical,Healthcare Support,Protective Service,Food Preparation & Serving Related,Building & Grounds Cleaning & Maintenance,Personal Care & Service,Sales & Related,Office & Administrative Support,"Farming, Fishing, & Forestry",Construction & Extraction,"Installation, Maintenance, & Repair",Production,Transportation & Material Moving,CoL Per Year,Leisure,Health,quality_of_life_index
"Aberdeen, WA",65024.6511276,35061.791127599994,59442.45112760001,48379.1311276,31748.351127599995,16101.551127599994,42015.651127599995,18220.0311276,18067.1511276,38071.0311276,8078.251127599998,19543.6911276,1062.0111275999989,5633.611127599997,3189.8511275999986,6693.131127599998,9000.431127599997,4094.491127599999,21228.4911276,18588.971127599994,9867.011127599997,10413.771127599995,22148.8688724,471.62500004,1955,0.0
"Abilene, TX",60228.062385624005,33527.562385624,43629.662385624,43348.462385624,26875.722385623994,13451.922385623999,41065.42238562399,17616.342385623997,13652.382385624,27469.302385624,669.3823856239977,9680.622385623996,-4653.737614376006,-2028.6976143760041,-5088.457614376002,1955.0623856239981,7467.382385623998,-1874.6976143760041,7987.2423856239975,10683.702385623998,7286.982385623996,5847.302385623997,22840.697614376008,461.003,2174,0.0
"Akron, OH",47736.98766936,25371.93366936,36036.43136936,33989.83756936,23317.14156936,9930.808269359997,27526.595969359994,16255.42406936,7664.5943693599975,23102.49516936,-373.32373064000063,8004.480269359991,-5550.521030640004,-1510.174830640004,-3399.541430640005,-128.43733064000477,6720.7291693599955,1778.785569359996,12859.09196936,10735.73226936,8286.131469359996,3833.960669359996,22792.333530640004,398.0,2332,0.0
"Albany, NY",63980.594761462,29428.854461462,34012.74846146201,29620.50126146201,20285.62986146201,6542.152261462004,44967.524461462,13757.047261462007,18276.945661462007,27914.753161462002,-5841.908638537996,4370.504761462005,-8795.345538537997,-3007.067238537995,-7617.569538537996,-4487.466238537993,-282.20513853799275,-1812.1153385379946,13639.311661462,7199.030761462003,460.0108614620076,779.8097614620057,28862.522038537998,369.99999996,2338,0.0
"Albuquerque, NM",36439.638083529986,19044.82808353,29911.143083529994,39650.51408353,26579.976083529997,6817.391083529994,24007.58708353,9306.446083529994,6208.468083529995,24180.83408353,-1159.0919164700024,6791.085083529998,-7998.221916470004,-5228.498916470006,-7605.158916470003,-3809.150916470004,1901.4810835299975,-5826.8189164700025,4268.3940835299945,4907.288083529995,3277.6170835299963,1106.214083529998,24736.223916470004,511.21428572,2279,0.0
"Alexandria, VA",53248.41835621098,21289.983356210992,34582.29085621099,23322.62085621099,21222.790856210995,-1780.8866437890026,30094.018356211,1541.8908562109937,2879.2383562109967,10928.610856210997,-11616.754143789003,-4716.404143789008,-18512.59414378901,-15052.336643789009,-17006.596643789002,-14113.041643789002,-6202.236643789009,-9603.274143789007,-5407.836643789007,-1030.2091437890049,-7149.756643789006,-8562.811643789006,35799.076643789005,452.00000004,2472,0.0
"Allegan, MI",50194.380402489005,24309.772902489,33224.672902489,35932.772902489,18308.735402488997,9106.210402489,29173.585402489,9227.897902489,8143.035402489004,23923.322902489,429.5854024889995,5851.622902488998,-6859.1770975109985,-3033.4770975110005,-4687.539597511001,-1723.6270975109985,4910.210402489,-1672.5395975110005,11579.785402488997,9015.497902488998,5720.072902488999,2643.935402488998,24184.539597511,538.45,2214,0.0
"Allen, TX",55441.653355671006,28741.153355671002,38843.253355671004,38562.053355671,22089.313355671,8665.513355671004,36279.013355670984,12829.933355671,8865.973355671002,22682.893355671,-4117.0266443289975,4894.213355671,-9440.146644329001,-6815.106644329,-9874.866644329,-2831.3466443289976,2680.9733556710016,-6661.106644329,3200.833355671002,5897.293355671001,2500.573355671,1060.893355671,27627.106644329,281.96,2174,0.0
"Allentown, PA",56680.063074793004,26820.696574792997,36501.652574793,32532.610474792997,25679.512674793004,7057.159774793003,34027.463974793005,17216.169174793,9307.307674793004,24045.289374793,1792.4227747930015,8642.027274793001,-6184.202825206999,-1152.1003252070004,-3781.533125206999,-802.1887252070011,6134.893674793002,1486.674774793002,11720.053674793004,10063.351374792996,7803.768174793,4387.034274793001,24068.762225207003,479.375,2321,0.0
"Alpharetta, GA",42935.203117511985,17857.035617511996,29341.828117512003,24902.855617512003,13367.420617511989,1215.6931175119935,26076.918117512003,5296.373117511997,4612.165617512001,14972.815617511997,-6700.444382488001,178.94561751199944,-13824.939382488003,-9991.266882488002,-11734.966882488005,-9153.961882488002,-2300.069382488,-8891.584382488003,1726.8906175119955,1430.9981175119974,-3941.7793824880064,-4863.801882488006,29866.979382488003,481.77600000000007,2392,0.0
