City_state,Health
"Chula Vista, CA","$2,121 "
"Wylie, TX","$2,174 "
"Akron, OH","$2,332 "
"Albuquerque, NM","$2,279 "
"Anaheim, CA","$2,121 "
"Anchorage, AK","$2,299 "
"Arlington, VA","$2,472 "
"Atlanta, GA","$2,392 "
"Austin, TX","$2,174 "
"Bakersfield, CA","$2,121 "
"Baltimore, MD","$2,479 "
"Baton Rouge, LA","$2,261 "
"Birmingham, AL","$2,496 "
"Boise, ID","$1,839 "
"Boston, MA","$2,660 "
"Buffalo, NY","$2,338 "
"Charlotte, NC","$2,165 "
"Chesapeake, VA","$2,472 "
"Chicago, IL","$2,473 "
"Cincinnati, OH","$2,332 "
"Cleveland, OH","$2,332 "
"Columbus, OH","$2,332 "
"Corpus Christi, TX","$2,174 "
"Dallas, TX","$2,174 "
"Denver, CO","$2,367 "
"Des Moines, IA","$2,237 "
"Detroit, MI","$2,214 "
"Durham, NC","$2,165 "
"El Paso, TX","$2,174 "
"Fort Wayne, IN","$2,268 "
"Fort Worth, TX","$2,174 "
"Fremont, CA","$2,121 "
"Fresno, CA","$2,121 "
"Garland, TX","$2,174 "
"Glendale, CA","$2,121 "
"Grand Rapids, MI","$2,214 "
"Honolulu, HI","$1,665 "
"Houston, TX","$2,174 "
"Huntington, WV","$2,185 "
"Huntington Beach, CA","$2,121 "
"Indianapolis, IN","$2,268 "
"Irving, TX","$2,174 "
"Jackson, MS","$2,383 "
"Jacksonville, FL","$2,555 "
"Jersey City, NJ","$2,737 "
"Kansas City, MO","$2,267 "
"Las Vegas, NV","$2,213 "
"Lincoln, NE","$2,440 "
"Little Rock, AR","$2,213 "
"Long Beach, CA","$2,121 "
"Los Angeles, CA","$2,121 "
"Louisville, KY","$2,269 "
"Lubbock, TX","$2,174 "
"Madison, WI","$2,384 "
"Memphis, TN","$2,208 "
"Mesa, AZ","$2,262 "
"Miami, FL","$2,555 "
"Milwaukee, WI","$2,384 "
"Minneapolis, MN","$2,362 "
"Mobile, AL","$2,496 "
"New Orleans, LA","$2,261 "
"New York, NY","$2,338 "
"Newark, NJ","$2,737 "
"Oakland, CA","$2,121 "
"Oklahoma City, OK","$2,165 "
"Omaha, NE","$2,440 "
"Orlando, FL","$2,555 "
"Philadelphia, PA","$2,321 "
"Phoenix, AZ","$2,262 "
"Pittsburgh, PA","$2,321 "
"Portland, OR","$2,000 "
"Raleigh, NC","$2,165 "
"Reno, NV","$2,213 "
"Richmond, VA","$2,472 "
"Riverside, CA","$2,121 "
"Rochester, NY","$2,338 "
"Sacramento, CA","$2,121 "
"Saint Louis, MO","$2,267 "
"Saint Paul, MN","$2,362 "
"Saint Petersburg, FL","$2,555 "
"Salt Lake City, UT","$2,138 "
"San Antonio, TX","$2,174 "
"San Bernardino, CA","$2,121 "
"San Diego, CA","$2,121 "
"San Francisco, CA","$2,121 "
"San Jose, CA","$2,121 "
"Santa Ana, CA","$2,121 "
"Scottsdale, AZ","$2,262 "
"Seattle, WA","$1,955 "
"Shreveport, LA","$2,261 "
"Spokane, WA","$1,955 "
"Stockton, CA","$2,121 "
"Tacoma, WA","$1,955 "
"Tampa, FL","$2,555 "
"Toledo, OH","$2,332 "
"Tucson, AZ","$2,262 "
"Tulsa, OK","$2,165 "
"Virginia Beach, VA","$2,472 "
"Washington, DC","$2,478 "
"Wichita, KS","$2,244 "
"Winston-Salem, NC","$2,165 "
"Knoxville, TN","$2,208 "
"Burlington, VT","$2,377 "
"Wheeling, WV","$2,185 "
"Stamford, CT","$2,483 "
"Savannah, GA","$2,392 "
"Harrisburg, PA","$2,321 "
"Joplin, MO","$2,267 "
"Santa Rosa, CA","$2,121 "
"Naples, FL","$2,555 "
"Germantown, MD","$2,479 "
"Hartford, CT","$2,483 "
"Appleton, WI","$2,384 "
"Las Cruces, NM","$2,279 "
"Columbia, SC","$2,342 "
"Newport, RI","$2,603 "
"Iowa City, IA","$2,237 "
"State College, PA","$2,321 "
"Asheville, NC","$2,165 "
