Data Scientist Position,Company,Salary,City,State
Data Scientist,ASML,144000,San Jose,California
Data Scientist,Packsize,112169,Salt Lake City,Utah
Data Scientist,Adobe,132597,San Jose,California
Data Science Engineer,Apple,127095,Austin,Texas
Data Scientist,Schlumberger,107585,Austin,Texas
Data Engineer,GameChanger,134958,New York,New York
Applied Data Scientist,Yelp,130405,San Francisco,California
Data Scientist,Upwork,81120,Raleigh,North Carolina
Data Scientist,IBM,112045,Raleigh,North Carolina
Data Scientist,Amazon,106229,Santa Barbara,California
