rank,city,state,pop2019,pop2016,pop2010,change,density
1,New York City,New York,8601186,8537673,8175133,0.002467478,11056.44652
2,Los Angeles,California,4057841,3976322,3792621,0.006741562,3343.031132
3,Chicago,Illinois,2679044,2704958,2695598,-0.003213922,4549.941906
4,Houston,Texas,2359480,2303482,2099451,0.007974149,1431.240441
5,Phoenix,Arizona,1711356,1615017,1445632,0.019123498,1276.426074
6,Philadelphia,Pennsylvania,1576596,1567872,1526006,0.001847889,4536.705305
7,San Antonio,Texas,1565929,1492510,1327407,0.015876548,1311.581212
8,San Diego,California,1453775,1406630,1307402,0.010927917,1728.404187
9,Dallas,Texas,1379735,1317929,1197816,0.015158193,1567.007113
10,San Jose,California,1033519,1025350,945942,0.002641648,2247.955294
11,Austin,Texas,1001104,947890,790390,0.018038045,1204.942195
12,Jacksonville,Florida,920984,880619,821784,0.014825973,475.6179617
13,Fort Worth,Texas,913939,854113,741206,0.022306563,1023.405574
14,San Francisco,California,897536,870887,805235,0.009996028,7388.033169
15,Columbus,Ohio,890228,860090,787033,0.011413549,1572.348344
16,Charlotte,North Carolina,889019,842051,731424,0.017926109,1121.101415
17,Indianapolis,Indiana,863771,855164,820445,0.003332551,922.6927146
18,Seattle,Washington,766893,704352,608660,0.027943317,3531.976567
19,Denver,Colorado,732144,693060,600158,0.018116688,1843.922766
20,Washington DC,District of Columbia,713549,681170,601723,0.015358104,4506.104291
21,El Paso,Texas,696610,683080,649121,0.006516399,1045.102165
22,Boston,Massachusetts,694784,673184,617594,0.010471448,5548.972278
23,Nashville,Tennessee,679318,660388,601222,0.009375817,551.095513
24,Portland,Oregon,667589,639863,583776,0.01403819,1931.355307
25,Las Vegas,Nevada,664304,632912,583756,0.016003915,1903.46785
26,Detroit,Michigan,662172,672795,713777,-0.005319109,1843.054404
27,Oklahoma City,Oklahoma,661614,638367,579999,0.01185107,421.3243509
28,Memphis,Tennessee,647506,652717,646889,-0.002675424,787.6911622
29,Louisville,Kentucky,620800,616261,597337,0.002443132,908.9793805
30,Baltimore,Maryland,594450,614664,620961,-0.011207809,2835.52708
31,Milwaukee,Wisconsin,581949,595047,594833,-0.007446509,2336.427473
32,Albuquerque,New Mexico,564764,559277,545852,0.003249043,1164.88177
33,Tucson,Arizona,537501,530706,520116,0.004231778,875.5814569
34,Fresno,California,532703,522053,494665,0.006708835,1811.14361
35,Sacramento,California,513330,495234,466488,0.011890447,2030.044757
36,Mesa,Arizona,503619,484587,439041,0.012757529,1409.032378
37,Atlanta,Georgia,501178,472522,420003,0.019429404,1450.204902
38,Kansas City,Missouri,501094,481420,459787,0.013260915,614.4185499
39,Colorado Springs,Colorado,493799,465101,416427,0.019754953,978.7337261
40,Miami,Florida,491724,453579,399457,0.026544386,5275.686042
41,Raleigh,North Carolina,485679,458880,403892,0.018737441,1292.592509
42,Long Beach,California,466203,470130,462257,-0.002799928,3578.304186
43,Virginia Beach,Virginia,454846,452602,437994,0.001647222,717.6220398
44,Omaha,Nebraska,452061,446970,408958,0.003768063,1266.503213
45,Oakland,California,426410,420005,390724,0.005032114,2945.427631
46,Minneapolis,Minnesota,424256,413651,382578,0.008402243,3033.401052
47,Arlington,Texas,405486,392772,365438,0.010562046,1634.156746
48,Tampa,Florida,403178,377165,335709,0.021979331,1372.528402
49,Tulsa,Oklahoma,403045,403090,391906,-3.72E-05,787.8659391
50,New Orleans,Louisiana,396766,391495,343829,0.004448,904.1789001
51,Wichita,Kansas,392428,389902,382368,0.00215023,943.3718559
52,Bakersfield,California,388092,376380,347483,0.010161692,1000.915363
53,Cleveland,Ohio,379800,385809,396815,-0.005246161,1887.291498
54,Aurora,Colorado,371922,361710,325078,0.009236998,935.2733821
55,Anaheim,California,356308,351043,336265,0.004949895,2755.820973
56,Honolulu,Hawaii,351024,351792,337256,-0.000728763,2238.493962
57,Riverside,California,335048,324722,303871,0.010379788,1592.10704
58,Santa Ana,California,334811,334217,324528,0.000591728,4762.143037
59,Lexington,Kentucky,329495,318449,295803,0.011300961,448.5268506
60,Corpus Christi,Texas,329408,325733,305215,0.003732674,728.6015062
61,Henderson,Nevada,317248,292969,257729,0.026177807,1169.667409
62,Stockton,California,314584,307072,291707,0.008023584,1968.989899
63,St. Paul,Minnesota,311008,302398,285068,0.009314009,2310.388129
64,Pittsburgh,Pennsylvania,302908,303625,305704,-0.000788396,2111.977772
65,St. Louis,Missouri,300991,311404,319294,-0.011400437,1875.766793
66,Cincinnati,Ohio,299238,298800,296943,0.000488144,1482.863616
67,Anchorage,Alaska,297832,298192,291826,-0.000402749,67.38986444
68,Orlando,Florida,297243,277173,238300,0.023025059,1090.713523
69,Irvine,California,297019,266122,212375,0.035920061,1748.645941
70,Plano,Texas,294478,286057,259841,0.009623857,1586.476021
71,Greensboro,North Carolina,292265,287027,269666,0.006009934,878.109362
72,Lincoln,Nebraska,291623,280364,258379,0.013037135,1211.849757
73,Newark,New Jersey,283756,281764,277140,0.002345527,4537.815113
74,Durham,North Carolina,279501,263016,228330,0.020054305,978.1289607
75,Toledo,Ohio,275004,278508,287208,-0.004229248,1315.809739
76,St. Petersburg,Florida,273968,260999,244769,0.01603219,1712.403172
77,Chula Vista,California,273565,267172,243916,0.007850896,2128.127007
78,Fort Wayne,Indiana,269534,264488,253691,0.006279587,940.7000041
79,Scottsdale,Arizona,266961,246645,217385,0.026027234,560.3469384
80,Jersey City,New Jersey,265004,264152,247597,0.001072832,6915.876831
81,Laredo,Texas,264473,257156,236091,0.009307952,981.1566199
82,Madison,Wisconsin,264365,252551,233209,0.01512132,1325.315842
83,Lubbock,Texas,264029,252506,229573,0.014762403,798.336382
84,Reno,Nevada,259019,245255,225221,0.018032394,920.3855894
85,Chandler,Arizona,258421,247477,236123,0.014318629,1535.739187
86,Glendale,Arizona,253956,245895,226721,0.010693719,1648.36637
87,Buffalo,New York,252555,256902,261310,-0.005704635,2414.694075
88,North Las Vegas,Nevada,252169,238702,216961,0.018124193,993.3434811
89,Gilbert,Arizona,251335,237133,208453,0.019197002,1426.850501
90,Winston-Salem,North Carolina,247222,242203,229617,0.006813304,720.3992969
91,Chesapeake,Virginia,245467,237940,222209,0.010326888,279.9776687
92,Irving,Texas,245165,238289,216290,0.009437031,1411.712205
93,Norfolk,Virginia,242070,245115,242803,-0.004175494,1754.310506
