,city_id,city_name,climate_index,country,cpi_index,healthcare_index,house_price_to_income_ratio,pollution_index,purchasing_power_incl_rent_index,quality_of_life_index,safety_index,traffic_time_index
10,3470,"Raleigh, NC",83.87605961639794,United States,72.27690398561468,54.49025949025949,2.146248396804827,42.55069863167596,184.82626236192132,196.13809767323812,54.25441388676683,33.86666666666667
12,3411,"Dallas, TX",81.85230164905714,United States,66.94833041305327,62.379865225127304,1.96379077558024,47.282660730656815,188.3363436901554,194.65797802027848,49.694738013183695,35.15915492957747
19,3393,"Austin, TX",82.08324019030677,United States,69.61897212624177,63.198286685282596,3.709491309416142,42.583594770943236,157.53044134551342,189.83415104742429,60.78916549105168,34.30510254237288
22,3482,"San Diego, CA",97.07821201487171,United States,72.71907439288248,68.52086104369211,5.6971038722525025,40.16814881324397,138.81491019718436,188.82709202610084,61.82761954610839,35.26530612244897
24,3403,"Charlotte, NC",84.04570851306589,United States,76.71451780691073,66.45299145299144,2.396099978415195,33.54462434414776,145.88161794758767,188.28723428692388,53.45062150001107,37.913043478260875
25,3487,"Seattle, WA",91.73157092324982,United States,84.7744570568089,71.13950794978237,5.79779674942853,29.84945993121206,144.3809776524976,188.1004286912088,53.64242979071192,42.66257668711656
26,3484,"San Jose, CA",95.52646524123008,United States,81.42802123987852,63.39297658862878,5.9865421584108995,50.378620155496414,169.80603646125095,186.80178886113416,55.023572560337264,36.233333333333334
27,3445,"Madison, WI",51.63641757180172,United States,64.40659893863253,66.09935035842294,3.2164460770358696,33.856162196679435,136.12354835477365,186.460010093168,64.90395360271768,23.730769230769234
28,3469,"Portland, OR",89.55747164859805,United States,77.9630184672776,70.02498947811448,4.47026424859882,30.083325888221484,128.54121511025073,186.3934111391274,52.115783297238934,33.242672413793095
29,3409,"Columbus, OH",71.2887701014351,United States,68.06302196933957,67.12093045426379,2.156107628951991,33.238810657801395,134.27882434952116,186.27352410193532,52.32411866821348,26.179487179487175
35,3480,"San Antonio, TX",80.58015390546015,United States,66.64502309605037,68.1974462764904,2.197785960332625,42.250341821033395,134.75637041332214,182.9363903963431,51.929071552863796,28.08108108108108
