,Management,Business & Financial Operations,Computer & Mathematical,Architecture & Engineering,"Life, Physical, & Social Science",Community & Social Service,Legal,"Education, Training, & Library","Arts, Design, Entertainment, Sports, & Media",Healthcare Practitioners & Technical,Healthcare Support,Protective Service,Food Preparation & Serving Related,Building & Grounds Cleaning & Maintenance,Personal Care & Service,Sales & Related,Office & Administrative Support,"Farming, Fishing, & Forestry",Construction & Extraction,"Installation, Maintenance, & Repair",Production,Transportation & Material Moving
"Chula Vista, CA","$118,662 ","$76,053 ","$103,365 ","$97,234 ","$77,853 ","$50,777 ","$106,421 ","$56,024 ","$59,974 ","$87,749 ","$34,987 ","$48,607 ","$25,234 ","$30,111 ","$25,029 ","$30,872 ","$39,328 ","$24,267 ","$54,975 ","$50,366 ","$32,816 ","$32,127 "
"Wylie, TX","$109,301 ","$72,267 ","$87,461 ","$87,091 ","$63,739 ","$46,529 ","$84,087 ","$51,868 ","$46,786 ","$64,500 ","$26,716 ","$41,694 ","$20,667 ","$23,650 ","$20,173 ","$28,177 ","$34,441 ","$23,825 ","$39,523 ","$42,980 ","$34,236 ","$32,600 "
"Akron, OH","$97,903 ","$64,624 ","$78,933 ","$76,187 ","$61,867 ","$43,906 ","$67,515 ","$52,392 ","$40,593 ","$61,579 ","$26,366 ","$41,046 ","$20,225 ","$25,029 ","$22,807 ","$26,654 ","$34,709 ","$28,897 ","$47,835 ","$44,986 ","$36,550 ","$31,314 "
"Albuquerque, NM","$86,042 ","$59,892 ","$74,757 ","$90,558 ","$70,200 ","$43,165 ","$66,681 ","$46,570 ","$42,332 ","$66,918 ","$28,372 ","$37,939 ","$20,142 ","$23,475 ","$20,615 ","$25,183 ","$32,055 ","$22,755 ","$39,678 ","$40,552 ","$33,711 ","$31,098 "
"Anaheim, CA","$118,662 ","$76,053 ","$103,365 ","$97,234 ","$77,853 ","$50,777 ","$106,421 ","$56,024 ","$59,974 ","$87,749 ","$34,987 ","$48,607 ","$25,234 ","$30,111 ","$25,029 ","$30,872 ","$39,328 ","$24,267 ","$54,975 ","$50,366 ","$32,816 ","$32,127 "
"Anchorage, AK","$99,652 ","$75,590 ","$79,005 ","$98,078 ","$73,368 ","$50,253 ","$90,918 ","$62,227 ","$48,936 ","$84,314 ","$40,871 ","$56,456 ","$25,440 ","$32,641 ","$31,407 ","$30,378 ","$42,579 ","$37,322 ","$66,404 ","$62,083 ","$36,458 ","$46,899 "
"Arlington, VA","$126,758 ","$79,016 ","$100,187 ","$84,159 ","$78,923 ","$47,084 ","$93,798 ","$51,683 ","$53,534 ","$64,675 ","$29,401 ","$43,021 ","$21,017 ","$25,224 ","$22,848 ","$26,366 ","$35,984 ","$31,849 ","$42,064 ","$48,123 ","$34,832 ","$33,114 "
"Atlanta, GA","$103,633 ","$66,054 ","$84,283 ","$75,806 ","$59,840 ","$43,021 ","$77,431 ","$48,669 ","$47,722 ","$62,062 ","$28,166 ","$36,530 ","$19,504 ","$24,165 ","$22,045 ","$25,183 ","$33,516 ","$25,502 ","$38,412 ","$43,319 ","$31,520 ","$30,399 "
"Austin, TX","$109,301 ","$72,267 ","$87,461 ","$87,091 ","$63,739 ","$46,529 ","$84,087 ","$51,868 ","$46,786 ","$64,500 ","$26,716 ","$41,694 ","$20,667 ","$23,650 ","$20,173 ","$28,177 ","$34,441 ","$23,825 ","$39,523 ","$42,980 ","$34,236 ","$32,600 "
"Bakersfield, CA","$118,662 ","$76,053 ","$103,365 ","$97,234 ","$77,853 ","$50,777 ","$106,421 ","$56,024 ","$59,974 ","$87,749 ","$34,987 ","$48,607 ","$25,234 ","$30,111 ","$25,029 ","$30,872 ","$39,328 ","$24,267 ","$54,975 ","$50,366 ","$32,816 ","$32,127 "
